iter	Passed	Remaining
0	146	146174
1	147	73524
2	148	49201
3	148	37022
4	149	29724
5	150	24998
6	151	21521
7	152	18901
8	153	16859
9	153	15229
10	154	13893
11	155	12798
12	156	11903
13	159	11219
14	160	10510
15	160	9886
16	161	9334
17	162	8845
18	162	8406
19	163	8019
20	164	7669
21	165	7365
22	166	7065
23	167	6791
24	167	6538
25	168	6304
26	169	6091
27	169	5892
28	170	5709
29	171	5552
30	173	5419
31	174	5272
32	175	5134
33	176	5002
34	177	4881
35	177	4761
36	178	4655
37	179	4545
38	180	4441
39	180	4342
40	181	4253
41	182	4169
42	183	4086
43	184	4004
44	186	3958
45	187	3884
46	188	3813
47	188	3744
48	189	3678
49	190	3617
50	191	3560
51	192	3501
52	192	3443
53	193	3388
54	194	3336
55	195	3287
56	195	3241
57	196	3197
58	198	3158
59	199	3122
60	201	3100
61	202	3059
62	203	3022
63	204	2985
64	205	2955
65	206	2920
66	207	2884
67	207	2848
68	208	2813
69	209	2779
70	209	2746
71	210	2715
72	211	2684
73	212	2654
74	212	2625
75	214	2602
76	214	2575
77	215	2547
78	216	2521
79	217	2495
80	217	2470
81	218	2446
82	218	2418
83	219	2395
84	220	2372
85	221	2350
86	221	2328
87	222	2307
88	223	2286
89	224	2265
90	224	2245
91	225	2226
92	226	2207
93	227	2189
94	227	2171
95	228	2153
96	229	2135
97	230	2118
98	230	2100
99	231	2083
100	232	2065
101	232	2049
102	233	2032
103	234	2016
104	234	2000
105	235	1985
106	236	1970
107	236	1956
108	237	1942
109	238	1927
110	239	1914
111	239	1900
112	240	1887
113	241	1874
114	242	1863
115	242	1850
116	243	1836
117	244	1824
118	244	1812
119	245	1799
120	246	1788
121	246	1776
122	247	1764
123	248	1753
124	248	1742
125	249	1731
126	250	1720
127	251	1710
128	251	1699
129	252	1689
130	253	1678
131	253	1668
132	254	1658
133	255	1648
134	255	1639
135	256	1631
136	257	1624
137	258	1615
138	259	1605
139	259	1596
140	260	1588
141	261	1577
142	261	1568
143	262	1559
144	263	1551
145	263	1543
146	264	1535
147	265	1527
148	266	1519
149	266	1512
150	267	1504
151	268	1497
152	269	1489
153	269	1481
154	270	1474
155	271	1468
156	272	1463
157	273	1456
158	274	1449
159	274	1442
160	275	1434
161	275	1427
162	276	1420
163	277	1414
164	278	1407
165	278	1401
166	279	1394
167	280	1387
168	280	1381
169	281	1374
170	282	1368
171	282	1361
172	283	1355
173	284	1349
174	286	1348
175	287	1345
176	288	1341
177	289	1335
178	289	1329
179	290	1322
180	291	1317
181	291	1311
182	292	1306
183	293	1300
184	294	1295
185	294	1289
186	295	1284
187	296	1279
188	296	1274
189	297	1268
190	298	1263
191	299	1259
192	300	1256
193	301	1252
194	302	1247
195	302	1242
196	303	1237
197	304	1232
198	304	1226
199	306	1224
200	306	1219
201	307	1214
202	308	1209
203	308	1204
204	309	1200
205	310	1195
206	310	1190
207	311	1185
208	312	1181
209	312	1176
210	313	1172
211	314	1169
212	315	1165
213	316	1161
214	316	1156
215	317	1152
216	318	1148
217	319	1144
218	319	1140
219	320	1136
220	321	1132
221	321	1128
222	322	1124
223	323	1121
224	324	1117
225	325	1114
226	326	1110
227	326	1107
228	327	1103
229	329	1103
230	330	1100
231	331	1097
232	332	1093
233	332	1089
234	333	1086
235	334	1083
236	335	1079
237	336	1075
238	336	1072
